Year,Company Name,Country,Industry Exiobase,% Total Environmental Intensity -Revenue,% Total Environmental Intensity -Operating Income,Working Capacity,Fish Production Capacity,Crop Production Capacity,Meat Production Capacity,Biodiversity,Abiotic Resources,Water production capacity Drinking water & Irrigation Water,Wood Production Capacity,% Imputed,Total Environmental Cost
2014,KT & G CORPORATION,South Korea,Manufacture of tobacco products 16,-0.67,-2.37,24386099,-8469,311774,"-72,240","-1,311","-44,024",580019,"8,013",18,25395923
2018,STANDARD CHARTERED PLC,United Kingdom,Financial intermediationexcept insurance and pension funding 65,-0.32,-1.65,43530820,-10750,579425,135795,"-1,890","-11,011",645231,"2,000",5,44912921
2018,DAVIDE CAMPARI MILANO SPA,Italy,Manufacture of beverages,-8.44,-38.83,27193345,-7920,355571,"-83,243","-1,275","-14,072",137747067,"3,615",2,165398876
2015,EMPRESA DE TELECOMUNICACIONES DE BOGOTA SA,Colombia,Post and telecommunications 64,-1.12,0,4939238,-1234,"-64,588","-15,098",-211,"-2,259","-73,836",143,2,5096322
2016,CLEVO COMPANY,Taiwan,Manufacture of office machinery and computers 30,-0.38,-3.55,2065318,-496,"-27,439","-6,348",-88,-294,195180,65,1,2295099
2016,METTLER-TOLEDO INTERNATIONAL INC.,United States,Research and development 73,-0.78,-3.59,18784723,-4211,231011,"-52,923",-747,"-3,308",546726,-589,10,19624238
2017,CHINA GENERAL PLASTICS CORPORATION,Taiwan,Mining of chemical and fertilizer mineralsproduction of saltother mining and quarrying n.e.c.,-31.24,-278.18,146119817,-32810,1769529,410036,"-5,870",142293,5849548,"-2,430",18,154332333
2010,PREMIER OIL PLC,United Kingdom,Extraction of crude petroleum and services related to crude oil extractionexcluding surveying,-2.49,-9.85,11917497,-29111,258919,"-55,250","-3,485","-34,829","-96,584","78,862",1,12316812
2018,YOUL CHON CHEMICAL LIMITED,South Korea,Manufacture of fabricated metal productsexcept machinery and equipment 28,-4,-110.13,14000277,-3586,184561,"-43,059",-623,"-3,278",3349380,"1,099",13,17583666
2013,EVERSOURCE ENERGY,United States,Production of electricity nec,-11.9,-56.81,611228509,221687,7656280,1761169,"-34,360",580951,247656005,248271,16,868890690
2015,ITOCHU CORPORATION,Japan,Renting of machinery and equipment without operator and of personal and household goods 71,-0.28,-5.6,127904153,-36961,1698804,396468,"-5,955","-73,167",718151,"15,760",12,130817898
2012,FOSCHINI GROUP LTD,South Africa,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-3.86,0,51719604,-11822,687426,161109,"-2,151","-3,108",283300,-19,0,52868539
2016,CAPRO CORPORATION,South Korea,Mining of chemical and fertilizer mineralsproduction of saltother mining and quarrying n.e.c.,-113.93,0,319711173,-74001,4246806,995127,"-13,395","-8,365",1749847,"2,464",1,326796251
2013,DAIFUKU COMPANY LIMITED,Japan,Manufacture of fabricated metal productsexcept machinery and equipment 28,-0.62,-15.61,11565634,-2763,154526,"-35,831",-495,"-1,241",223868,422,2,11983935
2012,TAIYO YUDEN CO LTD,Japan,Manufacture of electrical machinery and apparatus n.e.c. 31,-5.88,0,122073956,-30061,1623565,380613,"-5,250",-688,954613,"4,063",0,125064683
2016,NISSIN FOODS HOLDINGS CO LIMITED,Japan,Processing of Food products nec,-2.97,-54.22,115021565,-26623,1525728,356643,"-4,813","-11,574",2348201,861,3,119294286
2018,CAPITALAND LIMITED,Singapore,Real estate activities 70,-4.88,-16.06,197943238,-45671,2600345,608344,"-8,237","-66,986",3770268,338,1,205042751
2016,CREDIT SUISSE GROUP AG,Switzerland,Financial intermediationexcept insurance and pension funding 65,0.1,0,28987014,4829,390505,"91,937","1,010","-13,783",161716,"5,305",11,29628533
2018,AKER BP ASA,Norway,Extraction of crude petroleum and services related to crude oil extractionexcluding surveying,-0.91,-1.72,266191558,-79959,3620973,836333,"-13,326",167498,9360647,"61,310",1,280208984
2015,TIM PARTICIPACOES SA,Brazil,Post and telecommunications 64,-0.52,-3.61,21824292,-5738,285721,"-65,624",-986,"-13,008",249336,"2,365",4,22442340
2015,WEIS MARKETS INC,United States,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-2.84,-90.1,80014004,-18680,1064400,249506,"-3,373","-2,181",438731,"1,137",1,81789739
2013,AICA KOGYO COMPANY LIMITED,Japan,Construction 45,-1.45,-12.17,13636588,-3284,181292,"-42,496",-581,-296,"-74,726",323,3,13938941
2017,BORREGAARD AS,Norway,Chemicals nec,-11.01,-68.24,58871690,-14495,756850,171517,"-2,485","-80,846",2257970,"1,946",15,62153908
2013,CIELO S.A.,Brazil,Computer and related activities 72,-0.02,-0.05,614618,-163,"-7,784","-1,543",-29,"-1,060","-6,137",140,16,631193
2014,LS INDUSTRIAL SYSTEMS COMPANY LIMITED,South Korea,Manufacture of radiotelevision and communication equipment and apparatus 32,-3.42,-51.58,69778124,-16102,928627,217204,"-2,916","-5,978",845465,365,0,71794050
2014,KAP INDUSTRIAL HOLDINGS LTD,South Africa,Activities of membership organisation n.e.c. 91,-17.8,-270.38,222114817,-50255,2915861,681053,"-9,124",149442,1197572,"-2,387",3,227120511
2017,CIE AUTOMOTIVE SA,Spain,Manufacture of machinery and equipment n.e.c. 29,-4.59,-61.15,169455959,-39782,2230025,521474,"-7,091",686118,32367596,"1,585",0,205306459
2012,EDP RENOVAVEIS,Spain,Production of electricity by solar photovoltaic,-0.54,-1.98,7908465,-1803,105501,"-24,596",-329,-18,197146,8,2,8237849
2011,JTEKT CORPORATION,Japan,Manufacture of fabricated metal productsexcept machinery and equipment 28,-1.45,-34.07,173713930,-40949,2314101,540255,"-7,350","-7,439",3855622,"3,418",2,180476227
2013,KEIHIN CORPORATION,Japan,Manufacture of machinery and equipment n.e.c. 29,-2.88,-84.79,76594321,-17777,1019536,238668,"-3,211","-1,793",2920603,635,2,80795273
2012,ALLIANT ENERGY CORPORATION,United States,Production of electricity nec,-244.9,-1458.25,6888976190,2006380,89594507,21131185,307880,352136,576580406,408890,1,7578539794
2011,ROCKWOOL INTERNATIONAL A/S,Denmark,Construction 45,-14.89,-247.61,348533999,123345,4458469,1060689,"-16,506",-696,3498116,"35,877",0,357655943
2016,TRANSAT AT INC,Canada,Other service activities 93,-21.24,0,420081398,-97105,5588979,1310288,"-17,592","-79,054",30438424,"2,801",5,457610038
2011,LG CHEM LIMITED,South Korea,Mining of chemical and fertilizer mineralsproduction of saltother mining and quarrying n.e.c.,-9.79,-79.04,1812186738,415549,23324079,5417696,"-74,700",822394,74634807,"-3,155",7,1916879118
2011,HALMA P.L.C.,United Kingdom,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-0.84,-4.37,6566140,-1827,"-86,020","-20,080",-305,"-18,811","-59,885",872,10,6752195
2014,DIGITAL REALTY TRUSTINC.,United States,Financial intermediationexcept insurance and pension funding 65,-18.06,-97.84,305318162,-70032,4060516,951943,"-12,731","-1,331",1673927,623,0,312088018
2010,MACMAHON HOLDINGS LIMITED,Australia,Quarrying of sand and clay,-1.75,-78.39,23322937,-11297,329447,"75,554",-269,"-33,637",39784039,"29,217",10,16072086
2013,BANCO COMERCIAL PORTUGUESS.A.,Portugal,Financial intermediationexcept insurance and pension funding 65,-0.6,0,24734705,-5864,329016,"-77,081","-1,048","-4,020",7084321,484,2,32235571
2018,FENG TAY ENTERPRISES COMPANY LIMITED,Taiwan,Manufacture of wearing apparel; dressing and dyeing of fur 18,-3.43,-30.16,66630019,-16550,876808,205125,"-2,849","-9,226",4465484,"1,812",3,72204250
2010,BANK HANDLOWY W WARSZAWIE SA,Poland,Financial intermediationexcept insurance and pension funding 65,-0.56,-1.79,5985327,-1467,"-70,054","-16,364",-240,"-5,384","-28,905",-203,9,6107944
2012,AMDOCS LTD,United States,Computer and related activities 72,-0.86,-6.26,27254439,-6682,362021,"-84,583","-1,185","-3,532",148722,"1,408",3,27859757
2010,AGL ENERGY LTD,Australia,Production of electricity nec,-0.28,-3.02,17003058,-36022,342137,"-78,088","-4,396","-5,899",1688020,"96,908",0,19060713
2015,RIO TINTO LIMITED,United Kingdom,Quarrying of sand and clay,-22.55,-191.86,7322064879,2790632,92285471,21834553,380367,32006191,383204636,1754039,11,7852812689
2013,NCC GROUP PLC,United Kingdom,Computer and related activities 72,-0.26,-1.3,396706,-101,"-5,267","-1,235",-17,-152,"-19,280",22,2,422738
2011,NESTE OYJ,Finland,Extraction of natural gas and services related to natural gas extractionexcluding surveying,7.79,488.44,1524135339,194211,20175374,4745579,"50,724",-  ,10294812,311242,0,1559907281
2017,BANK OF AMERICA CORPORATION,United States,Financial intermediationexcept insurance and pension funding 65,-0.39,-1.32,291513525,-65883,3814487,893839,"-11,980","-85,574",87956872,"-3,391",2,384345550
2011,ROYAL DUTCH SHELL PLC,Netherlands,Extraction of crude petroleum and services related to crude oil extractionexcluding surveying,-4.92,-54.2,22465436254,6673877,326911855,65428710,1056334,391191,290710969,4497486,14,23152111704
2017,ETSY INC,United States,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-0.22,-3.33,942105,-275,"-12,568","-2,940",-46,-343,"-5,169",179,14,963268
2010,ANEKA TAMBANG TBK PT,Indonesia,Quarrying of sand and clay,19.79,88.91,11534207,-2657,171671,"39,093",149,"-16,316",180646149,"7,319",6,192379615
2013,PEUGEOT S.A.,France,Manufacture of motor vehiclestrailers and semi-trailers 34,-0.78,0,548599834,114866,7761821,1585617,"-21,869","-94,028",22995206,"10,573",14,581162667
2018,LUYE PHARMA GROUP LIMITED,China,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-19.74,-71.64,15114533,-3480,200872,"-47,073",-632,"-1,225",14882300,70,0,30250045
2013,SECOM CO LTD,Japan,Other service activities 93,-0.25,-1.78,17890029,-4124,236801,"-55,494",-748,"-9,283","-97,582",109,1,18293951
2018,FIRSTENERGY CORPORATION,United States,Production of electricity nec,-159.94,-765.79,15324457535,3993143,201271675,47184895,674068,1702911,2432887949,890965,2,18011281210
2018,SL GREEN REALTY CORP.,United States,Financial intermediationexcept insurance and pension funding 65,12.03,99.02,158530638,-21223,1879440,444222,-200,"-1,029",17014458,179455,0,143996845
2010,WALGREENS BOOTS ALLIANCE INC,United States,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-1.02,-19.29,675594852,161475,8989592,2106861,"-28,901","-39,893",3704608,"20,792",3,690605391
2011,ZUMTOBEL AG,Austria,Manufacture of radiotelevision and communication equipment and apparatus 32,-0.56,-10.05,8760820,-2292,115583,"-27,044",-395,"-1,526","-47,549",803,7,8954406
2011,WYNDHAM DESTINATIONS INC,United States,Other service activities 93,-3.03,-15.45,117002622,-27139,1553452,362871,"-4,906","-3,918",9936529,"1,203",0,128890234
2012,MITSUBISHI HEAVY INDUSTRIES LIMITED,Japan,Manufacture of fabricated metal productsexcept machinery and equipment 28,-0.32,-8.11,97849364,-23227,1337720,296265,"-4,172","-17,553",5463860,"5,210",1,104986950
2017,BORAL LIMITED,Australia,Quarrying of sand and clay,-20.85,-265.19,609029509,192660,8252016,1928846,"-31,253",109200,74883812,154962,1,694272333
2013,WELLTOWER INC,United States,Financial intermediationexcept insurance and pension funding 65,-1.64,-6.74,46045518,-10847,612220,143481,"-1,952","-2,014",316715,942,2,47131805
2016,CANADIAN SOLAR INC,Canada,Manufacture of electrical machinery and apparatus n.e.c. 31,-3.31,-186.78,89728627,-20759,1183110,277025,"-3,749",139698,3207262,644,0,94559587
2017,DOWNER EDI LIMITED,Australia,Other service activities 93,-1.46,-43.34,81088509,-18810,1087667,251324,"-3,402","-3,088",441932,"1,224",0,82893508
2013,FIRST SOLARINC.,United States,Manufacture of electrical machinery and apparatus n.e.c. 31,-3.23,-23.89,98146248,-23505,1289951,300941,"-4,176",446608,6417512,"3,014",1,106625926
2018,SECOM CO LTD,Japan,Other service activities 93,-0.27,-1.96,23615516,-5505,312322,"-73,181",-994,"-16,017",128680,339,1,24151875
2017,LOTTE CHEMICAL CORP,South Korea,Mining of chemical and fertilizer mineralsproduction of saltother mining and quarrying n.e.c.,-13.35,-72.31,1880721904,434228,24637406,5748282,"-78,493",433199,70456511,"15,041",3,1982494982
2012,ELECTROCOMPONENTS PLC,United Kingdom,Salemaintenancerepair of motor vehiclesmotor vehicles partsmotorcyclesmotor cycles parts and accessoiries,-0.24,-2.35,4768019,-1660,"-60,915","-14,218",-257,"-5,511","-48,594","1,561",19,4897612
2016,ABSA GROUP LTD,South Africa,Financial intermediationexcept insurance and pension funding 65,-0.97,-5.24,83162634,-18983,1103194,258265,"-3,453","-20,878",454140,-114,1,85021660
2017,LS INDUSTRIAL SYSTEMS COMPANY LIMITED,South Korea,Manufacture of radiotelevision and communication equipment and apparatus 32,-3.97,-59.31,85040246,-19614,1131696,264739,"-3,553","-6,856",544850,419,0,87011134
2015,SOPRA STERIA GROUP,France,Computer and related activities 72,-0.16,-3.09,5920035,-1877,"-79,033","-18,351",-302,"-6,036","-32,259","1,479",16,6056412
2010,VINCI,France,Construction 45,-1.48,-16.04,656600857,153399,8768003,2041228,"-27,592","-11,024",8859223,"8,464",1,676452862
2018,AXIS BANK LIMITED,India,Financial intermediationexcept insurance and pension funding 65,-0.53,-53.27,43623390,-10402,578305,135465,"-1,863","-2,344",238192,"1,285",2,44588675
2012,ADELAIDE BRIGHTON LIMITED,Australia,Quarrying of sand and clay,-79.9,-506.13,916407470,224752,12170327,2854838,"-39,273","-30,705",41457520,"26,670",0,973158215
2013,GAP INC,United States,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-0.95,-7.16,131750674,-31988,1753414,410890,"-5,692","-10,629",19649437,"5,540",3,153607186
2015,FORMOSA SUMCO TECHNOLOGY CORPORATION,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. 31,-23.39,-164.69,72773266,-16756,967252,226605,"-3,039",-995,398468,304,0,74386079
2018,SAFARICOM PLC,Kenya,Post and telecommunications 64,-1.04,-3.09,20541060,-4354,246890,"-57,588",-781,"-5,654",3027320,"-1,718",13,23885364
2018,PALFINGER AKTIENGESELLSCHAFT,Austria,Manufacture of motor vehiclestrailers and semi-trailers 34,-1.1,-12.73,19767557,-4512,267706,"-60,841",-824,-826,266171,310,2,20368128
2012,WEST JAPAN RAILWAY CO,Japan,Transport via railways,-3.31,-38.84,482719798,118354,6277642,1469615,"-20,800","-23,093",2583882,"20,103",3,493193080
2017,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,United States,Manufacture of motor vehiclestrailers and semi-trailers 34,-1.28,-8.35,45694622,-15605,604686,128177,"-2,471","-61,147",3311871,"17,526",12,49801054
2014,RADIANT OPTO ELECTRONICS CORP,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. 31,-3.2,-43.85,50908217,-10120,724252,147879,"-1,979","-4,614",260037,-311,2,52057410
2017,VAREX IMAGING CORP,United States,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-2.08,-17.32,12485317,-2783,163236,"-38,016",-508,"-2,045",1801961,-245,3,14494110
2018,LG CHEM LIMITED,South Korea,Mining of chemical and fertilizer mineralsproduction of saltother mining and quarrying n.e.c.,-13.15,-164.98,3160131259,725460,41359330,9649956,131280,738271,115767493,"8,821",4,3328494228
2011,PIRELLI & C SPA,Italy,Manufacture of rubber and plastic products 25,-5.39,-64.79,286539050,-65999,3792047,882141,"-11,843",185923,104214469,"-1,296",1,395692769
2014,CEZ A.S,Czech Republic,Production of electricity nec,-84.59,-387.47,7159621328,2175961,94796590,22322470,340178,134416,132318624,955072,0,7410754496
2016,ASHLAND GLOBAL HOLDINGS INC,United States,Chemicals nec,-9.71,-84.86,260585481,-72599,3517819,775193,"-11,604",266038,215088901,"24,140",4,480293494
2011,COMPEQ MANUFACTURING COMPANY LIMITED,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. 31,-15.94,-277.2,122764275,-28206,1630346,381857,"-5,115","-2,411",671470,190,0,125483489
2015,ATTACQ,South Africa,Financial intermediationexcept insurance and pension funding 65,-53.01,-492.66,45040471,-10300,598995,140429,"-1,875",-204,246936,-1,0,46039211
2017,CENTRAL JAPAN RAILWAY COMPANY,Japan,Transport via railways,-2.86,-8.12,435872251,113225,5554737,1298616,"-19,347","-39,289",3958652,"34,202",5,446821914
2010,AQUA AMERICA INC,United States,Collectionpurification and distribution of water 41,-3.94,-10.52,27989820,-6472,372187,"-87,229","-1,173",-480,153384,212,1,28610532
2018,MINDTREE LIMITED,India,Computer and related activities 72,-0.79,-7.58,3598558,-823,"-47,822","-11,201",-150,-61,2538777,7,0,6197386
2015,SHINHAN FINANCIAL GROUP COMPANY LIMITED,South Korea,Financial intermediationexcept insurance and pension funding 65,-0.15,-1.09,26180157,-7672,349705,"-81,884","-1,259","-31,203",739273,"4,381",13,27386772
2013,GREAT EAGLE HOLDINGS LIMITED,Hong Kong,Real estate activities 70,-4.84,-14.09,43804499,-10159,580794,136079,"-1,830","-3,878",1006913,186,0,45543967
2014,CAPITALAND LIMITED,Singapore,Real estate activities 70,-5.3,-36.52,152568562,-35153,2008164,469964,"-6,349","-43,530",2064353,220,1,157195856
2018,ADVANTEST CORPORATION,Japan,Manufacture of electrical machinery and apparatus n.e.c. 31,-0.61,-5.32,11043233,-2501,148070,"-34,164",-457,-982,351005,21,2,11580392
2018,KERRY PROPERTIES LIMITED,Hong Kong,Real estate activities 70,-1.56,-4.26,36233059,-8691,476766,111529,"-1,529","-11,088",5886177,533,1,42728305
2011,VIVENDI SA,France,Recreationalcultural and sporting activities 92,-0.29,-1.53,105108592,-26889,1432886,322574,"-21,337","-46,557",1494213,"10,089",5,108442959
2013,ALFA LAVAL AB,Sweden,Manufacture of fabricated metal productsexcept machinery and equipment 28,-0.45,-3.44,19551478,-5441,232558,"-53,306",-882,329006,738384,"2,552",1,20908503
2017,EBARA CORPORATION,Japan,Manufacture of fabricated metal productsexcept machinery and equipment 28,-0.24,-4.98,10254170,-3067,136390,"-31,563",-497,"-4,068",252684,"1,870",14,10680569
2013,ABB INDIA LTD,India,Manufacture of machinery and equipment n.e.c. 29,-42.75,-834.84,476310167,110217,6334314,1474143,"-19,921",394952,48785757,"4,256",1,533425216
2016,HIROSE ELECTRIC CO LTD,Japan,Manufacture of electrical machinery and apparatus n.e.c. 31,-0.25,-1.06,2558600,-716,"-34,999","-7,910",-120,-536,"-13,906",388,11,2616400
2014,DOWNER EDI LIMITED,Australia,Other service activities 93,-1.39,-29.13,81747336,-18945,1095864,253471,"-3,428","-2,899",445708,"1,149",0,83566501
2011,MDU RESOURCES GROUP INC,United States,Production of electricity nec,-46.17,-460.19,617704188,280951,7657120,1804651,"-35,847",330403,1242484966,243037,4,1870055088
2015,SHIN-ETSU CHEMICAL CO LIMITED,Japan,Chemicals nec,-13.95,-94.49,1411857466,329637,18561467,4349406,"-59,201",1358533,19599045,"13,433",2,1456101322
2017,CELANESE CORPORATION,United States,Chemicals nec,-13.12,-82.71,841130450,211517,11134674,2596626,"-36,220",330127,49790536,"29,955",5,805619122
